baseline_policy,compared_policy,n_replications,mean_difference_H,std_difference_H,SE_difference_H,CI95_lower_difference_H,CI95_upper_difference_H,CI95_width_difference_H,zero_in_CI
SAA - R1,Lin_Stage2 / KN+Subset - R1,100,0.07860002300201081,0.047981328739274284,0.004798132873927429,0.06919568256911306,0.08800436343490857,0.01880868086579552,False
SAA - R1,SAA - R2,100,0.07520353860457613,0.09332541771453744,0.009332541771453744,0.05691175673252678,0.09349532047662547,0.03658356374409868,False
SAA - R1,Lin_Stage2 - R2,100,0.0968821026328646,0.10204152482502472,0.010204152482502473,0.07688196376715976,0.11688224149856945,0.04000027773140969,False
SAA - R1,KN+Subset - R2,100,0.17710804451105439,0.10294825887552661,0.01029482588755266,0.15693018577145118,0.1972859032506576,0.04035571747920643,False
