timetable,best_system,policy,best_mean_H_kn,best_mean_H_eval,elapsed_seconds,subset_csv_path,kn_csv_path,final_csv_path,plot_path
R1,1610,R1_cand_1610,0.9512872016975404,0.9317697444357759,4041.572499735048,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r1_subset_summary.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r1_kn_summary.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r1_final_policy_results.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r1_top_10_subset_policies.png
R2,1690,R2_cand_1690,1.0478239629802097,1.070065614488147,4054.5717200660147,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r2_subset_summary.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r2_kn_summary.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r2_final_policy_results.csv,/home/steven/HospitalSimulation/optimization_subset_selection_kn_simplified_outputs4/r2_top_10_subset_policies.png
