kn_rank,system,policy,mean_H_final
1,1772,R2_cand_1772,0.003414737969193887
2,5994,R2_cand_5994,0.005507001147188625
3,1205,R2_cand_1205,0.05513083586687744
4,1689,R2_cand_1689,0.08328608813291387
5,1204,R2_cand_1204,0.1335318007485516
6,1700,R2_cand_1700,0.18274726446084977
7,1688,R2_cand_1688,0.2837793760479055
8,1202,R2_cand_1202,0.3534359078822143
9,1690,R2_cand_1690,1.0478239629802097
10,3148,R2_cand_3148,1.06686344619499
