subset_rank,system,policy,mean_H_subset
1,1690,R2_effc06e5_SubsetKN,1.026271368607292
2,1688,R2_edf24a07_SubsetKN,1.0445522793883397
3,1700,R2_19475934_SubsetKN,1.0447367551593016
4,1204,R2_c359cee5_SubsetKN,1.0520089759940994
5,1689,R2_0f3b61ac_SubsetKN,1.0561579363852118
6,1202,R2_ee24775c_SubsetKN,1.0568910011416413
7,3148,R2_6916206a_SubsetKN,1.061094724496066
8,5994,R2_cbe8bf2f_SubsetKN,1.0618468364079772
9,1772,R2_e09169d5_SubsetKN,1.062738318498223
10,1205,R2_d0842c31_SubsetKN,1.0630968130606298
11,1132,R2_eab06afa_SubsetKN,1.0647245526833844
12,3149,R2_b563ff85_SubsetKN,1.0656659848033754
13,3798,R2_dbf38246_SubsetKN,1.0711182440262519
14,1123,R2_cb0fd71b_SubsetKN,1.0712259692395771
15,1195,R2_9d1a6131_SubsetKN,1.0713843825335734
16,1663,R2_aabeb57b_SubsetKN,1.072037404387018
17,3797,R2_bf2f09bd_SubsetKN,1.0743488512284676
18,1682,R2_2e148c7e_SubsetKN,1.0763972682305827
19,5337,R2_a954f04d_SubsetKN,1.0799126779983668
20,1286,R2_919c8a89_SubsetKN,1.0805453278945159
21,3859,R2_9bf1a93f_SubsetKN,1.0810111271656861
22,1681,R2_e844ea41_SubsetKN,1.081174620099863
23,3807,R2_985ec06f_SubsetKN,1.0815115166657316
24,1679,R2_160567da_SubsetKN,1.083437163035235
25,1680,R2_51063d6d_SubsetKN,1.0840762098263632
26,3868,R2_80d3924a_SubsetKN,1.088173817465111
27,3788,R2_ae551754_SubsetKN,1.0906173410105056
28,5346,R2_113417d3_SubsetKN,1.0906382835353123
29,3401,R2_530bdaf3_SubsetKN,1.0910751959287415
30,1699,R2_8093bb8b_SubsetKN,1.0915397750713234
31,1196,R2_05323af5_SubsetKN,1.0917256959913224
32,1609,R2_1c19dff4_SubsetKN,1.0918048243478427
33,1600,R2_c3969051_SubsetKN,1.0934069270056002
34,1187,R2_f793d1f7_SubsetKN,1.0936895843092147
35,1177,R2_ace9afc0_SubsetKN,1.0939321893884695
36,961,R2_72a2c84b_SubsetKN,1.0948467350176658
37,3852,R2_1995c719_SubsetKN,1.094884069251899
38,2662,R2_6a49f99b_SubsetKN,1.0965968582346153
39,1691,R2_29effb3f_SubsetKN,1.0973294322368377
40,1277,R2_3de912a0_SubsetKN,1.097949056933093
41,3139,R2_1e49505f_SubsetKN,1.098623324831848
42,1654,R2_e5c88782_SubsetKN,1.1030818307289745
43,3302,R2_2f17d4a8_SubsetKN,1.1031497109100399
44,1701,R2_a1237f00_SubsetKN,1.103702088355807
45,3869,R2_1d24bf29_SubsetKN,1.1037167601840876
46,3158,R2_c89c305a_SubsetKN,1.1062716626724485
47,1687,R2_05ddbae0_SubsetKN,1.106610162965321
48,3365,R2_a62735ed_SubsetKN,1.1066547755561542
49,5984,R2_8ac67ae6_SubsetKN,1.1082611216553477
50,1697,R2_cdaf249e_SubsetKN,1.1085113592045608
51,1781,R2_0dd4c384_SubsetKN,1.1092412942588423
52,5345,R2_73908be1_SubsetKN,1.1100456682385595
53,3553,R2_f7de878d_SubsetKN,1.1108206638346712
54,1773,R2_670c5fe3_SubsetKN,1.1127478123132999
55,1114,R2_6f0ec64a_SubsetKN,1.1135527684260627
56,5993,R2_07d872e4_SubsetKN,1.1146452419928818
57,6065,R2_31a6e7fa_SubsetKN,1.1161776808316144
58,5588,R2_6c66ac59_SubsetKN,1.117292348558486
59,1665,R2_aa199708_SubsetKN,1.117647377110428
60,3399,R2_e098ad21_SubsetKN,1.1176478116623845
61,1169,R2_b4e13d6d_SubsetKN,1.1177422306870564
62,1653,R2_f84e16e3_SubsetKN,1.1179644474230952
63,2825,R2_5ae825fa_SubsetKN,1.1181894065461373
64,4859,R2_415cc229_SubsetKN,1.118222745031337
65,1655,R2_8ade718f_SubsetKN,1.1188381640507528
66,1696,R2_8fe7af02_SubsetKN,1.1189378104718566
67,3381,R2_f2e363b0_SubsetKN,1.1189696775380251
68,5022,R2_08d5307a_SubsetKN,1.1195480808793263
69,709,R2_e961f23b_SubsetKN,1.1197358407555589
70,1194,R2_79248d8f_SubsetKN,1.1201238899280217
71,710,R2_1b436374_SubsetKN,1.1205302053560078
72,5498,R2_58e02df0_SubsetKN,1.1215103989123805
73,3400,R2_a7cd3ff9_SubsetKN,1.1219054309516194
74,1674,R2_4fa13a1d_SubsetKN,1.1226668850822499
75,3877,R2_25d6444b_SubsetKN,1.123318280730628
76,1601,R2_1ed982e4_SubsetKN,1.1240895109915034
77,3564,R2_ed009bb5_SubsetKN,1.1246983101378871
78,3563,R2_73ac0813_SubsetKN,1.1249381978651063
79,1168,R2_6ed4bb8b_SubsetKN,1.1256586015371306
80,1178,R2_7355d1dd_SubsetKN,1.1262099619579935
81,3805,R2_488c5bb8_SubsetKN,1.126523483073664
82,3878,R2_cf36a8d9_SubsetKN,1.1273012522358616
83,5587,R2_85d83ee6_SubsetKN,1.128153985207104
84,1206,R2_338fa403_SubsetKN,1.1282276978015877
85,2897,R2_613aee98_SubsetKN,1.1291082522071019
86,1672,R2_6f50631c_SubsetKN,1.129570105811106
87,1851,R2_a1c14441_SubsetKN,1.1305236143189836
88,5489,R2_5d628b06_SubsetKN,1.1306235600894579
89,4029,R2_9c30a3cd_SubsetKN,1.1306281986448607
90,3887,R2_f71e00e3_SubsetKN,1.1307799094347564
91,1664,R2_24793cff_SubsetKN,1.1312405863798292
92,2671,R2_c3322332_SubsetKN,1.1318109480113023
93,1763,R2_1cd17d5b_SubsetKN,1.1323493430577807
94,691,R2_a0b5ad4f_SubsetKN,1.1326001028727637
95,728,R2_cf358dc7_SubsetKN,1.1326980244805487
96,1186,R2_1dee8b85_SubsetKN,1.1327468994380814
97,3392,R2_6bd61306_SubsetKN,1.1328615282242536
98,5327,R2_64f7e957_SubsetKN,1.1329939913300855
99,3969,R2_eb1780b9_SubsetKN,1.133102535267272
100,1193,R2_403c4650_SubsetKN,1.1335155539350725
101,3888,R2_6ac65c4a_SubsetKN,1.1337045971409747
102,1771,R2_a837d498_SubsetKN,1.1343836076984801
103,1364,R2_75c0acec_SubsetKN,1.1348689858009897
104,5083,R2_fa3e12cb_SubsetKN,1.1354804720311091
105,2672,R2_8cffbdd7_SubsetKN,1.1357573995832957
106,3356,R2_9c07ca7b_SubsetKN,1.1370785334659357
107,3320,R2_65127084_SubsetKN,1.1370997520612596
108,1852,R2_5884ae7b_SubsetKN,1.1372503095531825
109,1843,R2_3e77e803_SubsetKN,1.1374763757621642
110,3960,R2_b09fa8de_SubsetKN,1.1375110164037614
111,2895,R2_778ea45e_SubsetKN,1.137673085117223
112,3402,R2_c9c42bd4_SubsetKN,1.1380265575019703
113,628,R2_3586e9f1_SubsetKN,1.1382527545258359
114,683,R2_717c9cc9_SubsetKN,1.1382579294653516
115,1863,R2_7789bd28_SubsetKN,1.1383581112185626
116,1167,R2_50195ec8_SubsetKN,1.1385479083365606
117,1201,R2_a9205f1f_SubsetKN,1.1386687975500704
118,707,R2_429417aa_SubsetKN,1.1392370041967805
119,1850,R2_5da9b667_SubsetKN,1.1399858666970006
120,1854,R2_04877f8a_SubsetKN,1.1400832960181115
121,5336,R2_385f91bb_SubsetKN,1.1402593456212984
122,4031,R2_13ac7d76_SubsetKN,1.1402966667574914
123,3875,R2_afb92b69_SubsetKN,1.140718363558855
124,3876,R2_f8d97899_SubsetKN,1.140748452298518
125,1367,R2_a6db7ed7_SubsetKN,1.1410984305920513
126,1295,R2_f6b783b1_SubsetKN,1.1418135367132973
127,1930,R2_56dbfddb_SubsetKN,1.1423431055829072
128,3885,R2_8507b10e_SubsetKN,1.1430330531318316
129,3391,R2_1586e93c_SubsetKN,1.1437550044139386
130,5335,R2_5026d906_SubsetKN,1.1445611961629942
131,1366,R2_1693eb8c_SubsetKN,1.1453244164049938
132,3959,R2_c8b85a8f_SubsetKN,1.145354257010877
133,5344,R2_412096a0_SubsetKN,1.145511729247449
134,2826,R2_2ce59925_SubsetKN,1.1462725867320698
135,708,R2_e172213e_SubsetKN,1.1463305684677256
136,682,R2_55aa75f7_SubsetKN,1.146743088564552
137,970,R2_f30ec788_SubsetKN,1.1468020536188925
138,3393,R2_1a8e9d4d_SubsetKN,1.1472690872151794
139,2653,R2_dbd11407_SubsetKN,1.1476253976970265
140,5102,R2_ddfc586d_SubsetKN,1.147754353603169
141,1671,R2_8d401e5f_SubsetKN,1.1479598015347328
142,1853,R2_ab240853_SubsetKN,1.1481637528206683
143,5507,R2_c356a888_SubsetKN,1.1483236679832773
144,3884,R2_0c3ceb1a_SubsetKN,1.1485228960077927
145,1357,R2_e151670d_SubsetKN,1.1486849220912925
146,1377,R2_922d96d7_SubsetKN,1.1489524846736576
147,1285,R2_fa87c07c_SubsetKN,1.148977694084715
148,1269,R2_a652675f_SubsetKN,1.1492475835503084
149,637,R2_ce0d530f_SubsetKN,1.1496808225768889
150,1215,R2_b3ea6001_SubsetKN,1.1500612840957105
