system,timetable,policy,subset_rank,kn_rank,mean_H_subset,mean_H_final,mean_H_eval,std_H_eval,min_H_eval,max_H_eval,mean_Z1_eval,mean_Z2_eval,mean_Z3_eval,final_eval_reps,selected_by_kn,daily_qik_json,weekly_qik_json
1690,R2,R2_effc06e5_SubsetKN,1,9,1.026271368607292,1.0478675654949048,1.0500601071862168,0.041207080171394024,0.961024193537771,1.1854616801506999,3.9333650580781607,5.7721714135567765,5.04,100,True,"[[0,2,0,2,2,1,2,0],[0,2,0,2,2,1,2,0]]","[[0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0],[0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0,0,2,0,2,2,1,2,0]]"
3148,R2,R2_6916206a_SubsetKN,7,10,1.061094724496066,1.0653191790243912,1.0694529873974687,0.12217527984976989,0.8703993848626324,1.9046770898189962,9.019882675466912,5.839622340111151,4.09,100,False,"[[1,1,0,2,2,1,2,0],[1,1,0,2,2,1,2,0]]","[[1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0],[1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0,1,1,0,2,2,1,2,0]]"
1204,R2,R2_c359cee5_SubsetKN,4,2,1.0520089759940994,0.0018859136351134318,1.0703526897976863,0.049829228659538864,0.9592799292821637,1.2034236573683974,3.8477559091874154,5.948759718224449,5.12,100,False,"[[0,1,1,2,2,1,2,0],[0,1,1,2,2,1,2,0]]","[[0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0],[0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0,0,1,1,2,2,1,2,0]]"
1688,R2,R2_edf24a07_SubsetKN,2,7,1.0445522793883397,0.08342867223424186,1.0740726324317382,0.0551179363558491,0.9725687013838096,1.2751644294906619,5.158330090484111,5.681712345445625,5.09,100,False,"[[0,2,0,2,2,1,1,1],[0,2,0,2,2,1,1,1]]","[[0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1],[0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1,0,2,0,2,2,1,1,1]]"
1202,R2,R2_ee24775c_SubsetKN,6,3,1.0568910011416413,0.008430623926400501,1.0939912957781304,0.05460843817591209,0.9992265470391916,1.301468828216338,5.249233096851838,5.906346617712741,5.09,100,False,"[[0,1,1,2,2,1,1,1],[0,1,1,2,2,1,1,1]]","[[0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1],[0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1,0,1,1,2,2,1,1,1]]"
1205,R2,R2_d0842c31_SubsetKN,10,4,1.0630968130606298,0.010244497839468179,1.0983578186613276,0.056013487378062374,1.0062063243518744,1.262350240098354,3.235885623079236,6.237717655656085,5.3,100,False,"[[0,1,1,2,2,1,2,1],[0,1,1,2,2,1,2,1]]","[[0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1],[0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1,0,1,1,2,2,1,2,1]]"
1689,R2,R2_0f3b61ac_SubsetKN,5,6,1.0561579363852118,0.06068930757343616,1.1003868439850404,0.06106351791221383,0.9605372558396201,1.263526334745353,3.8839189411190547,6.027000119156117,5.35,100,False,"[[0,2,0,2,2,1,1,2],[0,2,0,2,2,1,1,2]]","[[0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2],[0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2,0,2,0,2,2,1,1,2]]"
1700,R2,R2_19475934_SubsetKN,3,1,1.0447367551593016,0.0014877168109900028,1.100669235707253,0.06335673289539169,1.0015732501688088,1.2775611502442654,3.1802344088373626,6.044016943973508,5.49,100,False,"[[0,2,0,2,2,2,2,1],[0,2,0,2,2,2,2,1]]","[[0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1],[0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1,0,2,0,2,2,2,2,1]]"
1772,R2,R2_e09169d5_SubsetKN,9,5,1.062738318498223,0.0184627013382547,1.118504877026377,0.07837699146779455,0.9733063478843713,1.392736827858145,5.332204493541703,5.803041902059613,5.4,100,False,"[[0,2,1,0,2,1,2,1],[0,2,1,0,2,1,2,1]]","[[0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1],[0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1,0,2,1,0,2,1,2,1]]"
5994,R2,R2_cbe8bf2f_SubsetKN,8,8,1.0618468364079772,0.12261071423765008,1.1588671059938,0.07530320608978706,0.9993662535619615,1.4003115752605289,3.85036006459205,6.041992379049632,5.93,100,False,"[[2,2,0,1,2,2,2,2],[2,2,0,1,2,2,2,2]]","[[2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2],[2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2,2,2,0,1,2,2,2,2]]"
