timetable,best_system,policy,best_mean_H_kn,best_mean_H_eval,best_mean_Z1_eval,best_mean_Z2_eval,best_mean_Z3_eval,elapsed_seconds,subset_csv_path,kn_csv_path,final_csv_path
R1,1610,R1_c5d534fd_SubsetKN,0.9517424775764708,0.9519469309885146,9.102480709273504,4.42367216165817,4.03,6342.779435259057,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r1_subset_summary.csv,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r1_kn_summary.csv,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r1_subset_policy_results.csv
R2,1690,R2_effc06e5_SubsetKN,1.0478675654949048,1.0500601071862168,3.9333650580781607,5.7721714135567765,5.04,4771.954093341017,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r2_subset_summary.csv,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r2_kn_summary.csv,C:\Users\31889\Desktop\HospitalSimulation\optimization_subset_selection_kn_simplified_outputs5\r2_subset_policy_results.csv
