timetable,policy_name,total_slots,screening_mean_H,validation_mean_H,validation_std_H,validation_mean_Z1,validation_mean_Z2,validation_mean_Z3,total_run_time
R1,R1_840a3320_SAA2,18,0.8467017564081791,0.8668387034843384,0.12652680057690846,8.895462422128578,4.552770644769791,3.12,974.1441672999936
R2,R2_7652d98c_SAA2,17,0.9779900486902703,0.9420422420889145,0.07071679092192629,5.433195473139144,6.2827078100920195,3.23,974.1441672999936
