subset_rank,system,policy,mean_H_subset
1,3885,R1_cand_3885,0.9457234221273376
2,1780,R1_cand_1780,0.9464753142325548
3,1610,R1_cand_1610,0.9516723756436716
4,1687,R1_cand_1687,0.9523200535477947
5,1771,R1_cand_1771,0.9547520001513754
6,3391,R1_cand_3391,0.9560680485874059
7,1611,R1_cand_1611,0.9567070112199723
8,1690,R1_cand_1690,0.9577779620210304
9,6371,R1_cand_6371,0.9583029856881674
10,6372,R1_cand_6372,0.9583029856881674
11,1772,R1_cand_1772,0.9604990045408335
12,1691,R1_cand_1691,0.9643130221649561
13,1663,R1_cand_1663,0.9653337612762611
14,1782,R1_cand_1782,0.9655619904879741
15,1781,R1_cand_1781,0.9655619904879741
16,1692,R1_cand_1692,0.9655915922482035
17,1773,R1_cand_1773,0.9656539749051365
18,1609,R1_cand_1609,0.9656593378032798
19,3852,R1_cand_3852,0.9710360977324589
20,3851,R1_cand_3851,0.9710822514789211
21,6206,R1_cand_6206,0.9722078953946984
22,6207,R1_cand_6207,0.9722078953946984
23,1296,R1_cand_1296,0.9725924822610237
24,1213,R1_cand_1213,0.9726390551861461
25,3393,R1_cand_3393,0.974357874413948
26,1762,R1_cand_1762,0.9750826667239579
27,1295,R1_cand_1295,0.9770555683054618
28,3483,R1_cand_3483,0.9777000336390157
29,3482,R1_cand_3482,0.9777000336390157
30,1665,R1_cand_1665,0.9781952554337483
31,1664,R1_cand_1664,0.9781952554337483
32,1206,R1_cand_1206,0.9785650820410926
33,1294,R1_cand_1294,0.9811200132536572
34,1852,R1_cand_1852,0.9815927009673555
35,1204,R1_cand_1204,0.9818059138897854
36,1205,R1_cand_1205,0.9821325489611071
37,1123,R1_cand_1123,0.9821720829482901
38,1763,R1_cand_1763,0.9826611980718826
39,1215,R1_cand_1215,0.9833008904075871
40,1214,R1_cand_1214,0.9833008904075871
41,1210,R1_cand_1210,0.9834032698963902
42,1764,R1_cand_1764,0.9834119970614257
43,1285,R1_cand_1285,0.9853900813605809
44,1287,R1_cand_1287,0.9871063156576299
45,1286,R1_cand_1286,0.9871063156576299
46,1188,R1_cand_1188,0.9875295526411547
47,1187,R1_cand_1187,0.9875295526411547
48,1178,R1_cand_1178,0.9880456345498517
49,4198,R1_cand_4198,0.9882179681056833
50,3958,R1_cand_3958,0.989258604281742
51,3805,R1_cand_3805,0.9910342396185059
52,1132,R1_cand_1132,0.9927705282172243
53,1201,R1_cand_1201,0.9947515982165092
54,1699,R1_cand_1699,0.994927810995924
55,1372,R1_cand_1372,0.995638489439217
56,1846,R1_cand_1846,0.9961766852685467
57,1834,R1_cand_1834,0.9967296498623636
58,1696,R1_cand_1696,0.9967547841709056
59,3968,R1_cand_3968,0.9970161301564928
60,1177,R1_cand_1177,0.9971273391557158
61,3969,R1_cand_3969,0.9975259850394196
62,1683,R1_cand_1683,1.0002763348308892
63,6065,R1_cand_6065,1.0004553684393325
64,6066,R1_cand_6066,1.0004553684393325
65,1700,R1_cand_1700,1.0013561707333558
66,1701,R1_cand_1701,1.002421959637539
67,3967,R1_cand_3967,1.002937176944512
68,1849,R1_cand_1849,1.0037025574679515
69,1203,R1_cand_1203,1.003809945453154
70,3960,R1_cand_3960,1.0040452604346484
71,3886,R1_cand_3886,1.0041296602382987
72,1186,R1_cand_1186,1.0043501884565949
73,1779,R1_cand_1779,1.0046806306032154
74,1600,R1_cand_1600,1.0050118273227402
75,1276,R1_cand_1276,1.0052802006729986
76,1277,R1_cand_1277,1.0056288030189415
77,1688,R1_cand_1688,1.005883534177379
78,3959,R1_cand_3959,1.0061703437055955
79,3884,R1_cand_3884,1.0063895683941435
80,1202,R1_cand_1202,1.0066686121744446
81,3879,R1_cand_3879,1.0071041551992859
82,1681,R1_cand_1681,1.008323014550826
83,1375,R1_cand_1375,1.0093334158444112
84,1682,R1_cand_1682,1.0095351217536455
85,3878,R1_cand_3878,1.0099823376761456
86,3401,R1_cand_3401,1.010007960332661
87,3402,R1_cand_3402,1.010007960332661
88,3883,R1_cand_3883,1.0103111399191693
89,1697,R1_cand_1697,1.0110600409461044
90,1698,R1_cand_1698,1.0110600409461044
91,1778,R1_cand_1778,1.0113783872682687
92,1655,R1_cand_1655,1.0116329854419162
93,1114,R1_cand_1114,1.0130641444114283
94,1768,R1_cand_1768,1.0132431467802008
95,1777,R1_cand_1777,1.0132950903490756
96,1770,R1_cand_1770,1.013344066190895
97,4210,R1_cand_4210,1.0145233611729874
98,1858,R1_cand_1858,1.0147654043487921
99,4036,R1_cand_4036,1.0149658824856165
100,1602,R1_cand_1602,1.015105971624675
101,1618,R1_cand_1618,1.0157612625380943
102,1680,R1_cand_1680,1.0167270860612514
103,4012,R1_cand_4012,1.017097039239666
104,1850,R1_cand_1850,1.017700416469504
105,6398,R1_cand_6398,1.0177339034946238
106,3966,R1_cand_3966,1.017944354620467
107,4021,R1_cand_4021,1.0179900184469888
108,3888,R1_cand_3888,1.0180308444294432
109,6232,R1_cand_6232,1.0182136620673223
110,1679,R1_cand_1679,1.019205768771788
111,3850,R1_cand_3850,1.019752381895203
112,4265,R1_cand_4265,1.0197826780113886
113,4266,R1_cand_4266,1.0197826780113886
114,1601,R1_cand_1601,1.0201359436898714
115,1620,R1_cand_1620,1.020205269350396
116,1619,R1_cand_1619,1.020205269350396
117,3392,R1_cand_3392,1.021113796683578
118,1990,R1_cand_1990,1.0211375904172395
119,3390,R1_cand_3390,1.021173649208441
120,3389,R1_cand_3389,1.021173649208441
121,3473,R1_cand_3473,1.021388630247649
122,3474,R1_cand_3474,1.021388630247649
123,1769,R1_cand_1769,1.0216456695507237
124,6237,R1_cand_6237,1.0217635243184267
125,6236,R1_cand_6236,1.0217635243184267
126,1672,R1_cand_1672,1.0218803629573068
127,1689,R1_cand_1689,1.0226920301106852
128,647,R1_cand_647,1.0231880202894608
129,1115,R1_cand_1115,1.0235152428653376
130,3552,R1_cand_3552,1.0236306146464687
131,4018,R1_cand_4018,1.0241185966935058
132,1116,R1_cand_1116,1.0242097535292776
133,1662,R1_cand_1662,1.0244015179683683
134,1278,R1_cand_1278,1.0254841364383327
135,1195,R1_cand_1195,1.0255523176904031
136,1859,R1_cand_1859,1.026053976115632
137,1860,R1_cand_1860,1.026053976115632
138,1196,R1_cand_1196,1.026183615697719
139,3860,R1_cand_3860,1.0263947029144531
140,1671,R1_cand_1671,1.0265614867131534
141,1670,R1_cand_1670,1.0265614867131534
142,1654,R1_cand_1654,1.0268919079035612
143,3398,R1_cand_3398,1.0272047354959413
144,3399,R1_cand_3399,1.0272047354959413
145,3388,R1_cand_3388,1.027379988747623
146,648,R1_cand_648,1.0274318166995813
147,1661,R1_cand_1661,1.028432194586619
148,3861,R1_cand_3861,1.0287119427181275
149,3400,R1_cand_3400,1.0290169536999285
150,720,R1_cand_720,1.0294860134975135
151,6399,R1_cand_6399,1.0299650098284983
