kn_rank,system,policy,mean_H_final
1,1611,R1_cand_1611,0.0023932239058074836
2,6371,R1_cand_6371,0.00442324709254869
3,3391,R1_cand_3391,0.004981543024913481
4,3885,R1_cand_3885,0.010164876645318201
5,1687,R1_cand_1687,0.07334219842757872
6,6372,R1_cand_6372,0.09777859157910043
7,1690,R1_cand_1690,0.11857155077452411
8,1780,R1_cand_1780,0.18244707492585127
9,1610,R1_cand_1610,0.9512872016975404
10,1771,R1_cand_1771,0.9591158282008114
