policy_name,replication,timetable,num_weeks,warmup_weeks,total_sim_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,mean_prep_duration,mean_booking_wait,mean_lateness,mean_procedure_duration,Z1_wait_time,Z2_overtime,Z3_congestion,H,total_overtime_min,lunch_overtime_min,after_hours_overtime_min
R1_840a3320_SAA2,11,R1_placeholder,180,20,200,2361,2361,25,25,11418.342098260478,8313.11891562964,55.407606363693105,80.42517510865525,6.4061121652105095,4.819142128801616,4.0,0.922805202415783,52046.734991057456,24546.747938360408,27499.987052697048
R1_840a3320_SAA2,12,R1_placeholder,180,20,200,2499,2499,50,50,11131.34746785894,14370.831738505114,54.801795662536115,78.6444574677551,12.45051296821187,4.656128340378567,3.0,0.9392869736919683,50286.18607608852,24812.4786994374,25473.707376651117
R1_840a3320_SAA2,13,R1_placeholder,180,20,200,2429,2429,21,21,11396.528741166263,6021.357197110877,55.634873855589525,77.19185255404767,4.7520825717468265,4.304728545549337,3.0,0.7462086244670934,46491.06829193284,22825.89377693957,23665.17451499327
R1_840a3320_SAA2,14,R1_placeholder,180,20,200,2501,2501,20,20,11150.962396883793,16643.590176151836,54.87360389344983,78.4655350345745,13.202754638634989,4.630866068926211,3.0,0.9533854563419895,50013.35354440307,24041.447220447473,25971.906323955598
R1_840a3320_SAA2,15,R1_placeholder,180,20,200,2501,2501,24,24,10991.240193369058,11215.974571243209,54.56717123306645,79.02043791190626,9.224363822427797,4.659060678871786,3.0,0.8703897933617671,50317.855331815284,24839.52096023492,25478.334371580364
R1_840a3320_SAA2,16,R1_placeholder,180,20,200,2441,2441,21,21,11763.989550922799,6566.08885966985,55.83308036555238,76.38310357700136,5.63297518522538,4.182741237898652,3.0,0.7553259101438646,45173.60536930544,23482.613465791364,21690.991903514077
R1_840a3320_SAA2,17,R1_placeholder,180,20,200,2558,2558,52,52,11122.114876833415,14172.484555793231,54.910673440056804,78.2454328368394,11.74340426632518,4.715400224073528,3.0,0.9288763950614218,50926.3224199941,24915.644230122067,26010.678189872036
R1_840a3320_SAA2,18,R1_placeholder,180,20,200,2510,2510,32,32,12364.133904192371,11137.49708327834,56.78344016988693,78.82515512399688,8.822730845759194,4.690156655973457,3.0,0.8642710506012878,50653.69188451333,24475.88964716313,26177.802237350203
R1_840a3320_SAA2,19,R1_placeholder,180,20,200,2522,2522,32,32,11529.631658583678,10483.85979785099,56.094207661133325,78.07677873908021,9.545000382238824,4.7394523910546695,3.0,0.8836919137609198,51186.08582339043,24338.12584967015,26847.95997372028
R1_840a3320_SAA2,20,R1_placeholder,180,20,200,2411,2411,14,14,11836.311726848257,8941.296624694496,54.91420500024095,77.94716233536359,6.714030791610365,4.441837420722403,3.0,0.7992190820494429,47971.84414380195,23033.357955055108,24938.486188746843
R1_840a3320_SAA2,21,R1_placeholder,180,20,200,2492,2492,27,27,11251.176813447153,9161.18358893521,56.461630286053165,78.19071724528712,7.539610196194433,4.450643126913783,3.0,0.8176145257858406,48066.945770668855,23885.530792442034,24181.41497822682
R1_840a3320_SAA2,22,R1_placeholder,180,20,200,2372,2372,63,63,11720.680605123069,8399.237171226592,54.971502324086686,79.7015892270686,8.948023191361912,4.256053573107937,3.0,0.8322276399492474,45965.37858956572,23967.23132351623,21998.14726604949
R1_840a3320_SAA2,23,R1_placeholder,180,20,200,2697,2697,113,113,10639.301911966408,56595.54438105273,55.13078602772491,80.70340662172002,45.269950245724196,5.440208792511887,3.0,1.7052870658093267,58754.25495912839,26781.523049986106,31972.731909142283
R1_840a3320_SAA2,24,R1_placeholder,180,20,200,2442,2442,19,19,11288.676279368168,7566.569030702481,55.3003833700983,76.85075964942682,6.11848978394404,4.386760586321212,3.0,0.7820513422759264,47377.014332269086,23413.79597548468,23963.218356784404
R1_840a3320_SAA2,25,R1_placeholder,180,20,200,2340,2340,20,20,10534.720788277858,7122.268563404065,55.23676800307216,80.46217346242949,5.790396147978832,4.559550115679865,3.0,0.7888439267110785,49243.14124934253,22740.25699699245,26502.88425235008
R1_840a3320_SAA2,26,R1_placeholder,180,20,200,2422,2422,46,46,11450.731793329789,7366.291322115661,56.61803901761775,78.3207861891313,7.653990744681177,4.65485980447625,3.0,0.8364028717441252,50272.48588834351,22953.258142201405,27319.227746142104
R1_840a3320_SAA2,27,R1_placeholder,180,20,200,2583,2583,33,33,11330.22999613586,16217.044327336269,57.28408467183884,76.55272693257089,12.49536973902244,4.518474157747769,4.0,1.0292358555988739,48799.520903675904,25915.822965400323,22883.69793827558
R1_840a3320_SAA2,28,R1_placeholder,180,20,200,2503,2503,43,43,11522.214684868197,14113.20677769583,54.371614162485585,78.97224712277885,11.393571791710908,4.725653182862888,3.0,0.9222002215942648,51037.054374919186,24449.43094991168,26587.623425007507
R1_840a3320_SAA2,29,R1_placeholder,180,20,200,2443,2443,21,21,12145.54558947867,9789.901548559912,55.45695036778611,77.18599393225513,7.902978729454889,4.307527608629521,3.0,0.8139517528929665,46521.298173198826,22992.77654971555,23528.521623483277
R1_840a3320_SAA2,30,R1_placeholder,180,20,200,2427,2427,15,15,11282.46501058127,7469.0700309439835,56.2629265482168,76.56281512514153,5.990790513127354,4.2668842877373985,3.0,0.7697248254431496,46082.3503075639,23023.54217585575,23058.808131708152
R1_840a3320_SAA2,31,R1_placeholder,180,20,200,2429,2429,14,14,11049.563248125725,5894.844182189138,54.47453633641956,77.8044449766742,5.023598542624147,4.276928763946185,3.0,0.7498028413147837,46190.830650618795,23650.02903805519,22540.801612563606
R1_840a3320_SAA2,32,R1_placeholder,180,20,200,2564,2564,26,26,10609.465888576724,18882.60353863145,54.86180564670981,77.31151310646003,14.166256537167598,4.666101561190625,3.0,0.9768507649774129,50393.896860858746,25342.133886586,25051.762974272744
R1_840a3320_SAA2,33,R1_placeholder,180,20,200,2452,2452,23,23,12910.18610302362,12048.421009379941,54.53549533381611,78.10470323028544,9.190214055762024,4.432895856770421,3.0,0.8515648268793914,47875.27525312055,23765.033636510925,24110.241616609623
R1_840a3320_SAA2,34,R1_placeholder,180,20,200,2291,2291,15,15,12449.4906231468,5998.231246912373,56.574493315060614,78.67942271205344,4.66220877898045,4.189667526185976,3.0,0.7350778759301735,45248.40928280854,21251.170554001,23997.23872880754
R1_840a3320_SAA2,35,R1_placeholder,180,20,200,2464,2464,12,12,10663.967068287293,7568.064648358251,56.705336162107436,78.67844531861401,5.839902456482431,4.790308287171345,3.0,0.8083654298983312,51735.32950145053,23750.068269587588,27985.26123186294
R1_840a3320_SAA2,36,R1_placeholder,180,20,200,2441,2441,29,29,10415.690090384083,6477.19471903747,56.888027893550856,79.89548657681836,5.618269780986868,4.644172616314175,3.0,0.7919253046119955,50157.06425619309,24618.932471299282,25538.131784893805
R1_840a3320_SAA2,37,R1_placeholder,180,20,200,2439,2439,19,19,10801.866079952631,10721.870482453165,55.701174653051,78.94964550401652,7.957216108354166,4.499931903408277,3.0,0.8305063260231087,48599.26455680939,24187.119976204325,24412.14458060506
R1_840a3320_SAA2,38,R1_placeholder,180,20,200,2417,2417,51,51,12162.734928488617,8405.454002941011,54.18883904771827,78.9881949838498,7.379627370884375,4.410823907735259,3.0,0.8110007848520574,47636.8982035408,22925.797958571056,24711.10024496974
R1_840a3320_SAA2,39,R1_placeholder,180,20,200,2508,2508,75,75,11506.191492279002,17638.065362715988,54.0722076051378,77.95344682146126,14.678238160035416,4.454940793389962,3.0,0.9709289383290989,48113.36056861159,23776.456388052262,24336.90418055933
R1_840a3320_SAA2,40,R1_placeholder,180,20,200,2414,2414,37,37,10943.810634926132,7387.595330731241,55.07809318322652,79.14952574108382,7.450727810523784,4.566277505255413,3.0,0.8249606535030856,49315.797056758456,22808.63997064522,26507.157086113235
R1_840a3320_SAA2,41,R1_placeholder,180,20,200,2500,2500,30,30,11706.421204007365,7873.162781475229,54.58901155797455,79.22084944932848,6.8257387847913975,4.645207725505008,3.0,0.8178824491430735,50168.24343545409,25025.950039034273,25142.293396419816
R1_840a3320_SAA2,42,R1_placeholder,180,20,200,2563,2563,24,24,10841.791162040981,13158.223447146682,55.89160009215442,79.23152424453805,10.022156268002602,4.877055743769403,3.0,0.9049249509587509,52672.20203270955,24514.178498249385,28158.023534460168
R1_840a3320_SAA2,43,R1_placeholder,180,20,200,2450,2450,17,17,11791.772874661348,10936.622698562322,56.12018405577282,77.97039956124028,8.309149670274868,4.419750947479511,3.0,0.8316332830185367,47733.31023277872,23898.81601751718,23834.49421526154
R1_840a3320_SAA2,44,R1_placeholder,180,20,200,2548,2548,30,30,12076.160990417393,8969.718556104113,54.94207184121805,78.16616511782237,8.058494610637352,4.670052860145855,3.0,0.8462862561824689,50436.57088957523,24928.652916726278,25507.917972848954
R1_840a3320_SAA2,45,R1_placeholder,180,20,200,2422,2422,25,25,10322.78150549672,9378.55353065213,56.30773902809491,78.0153302284094,7.620558733766998,4.411371218031308,3.0,0.8162073845946546,47642.80915473812,24463.645028101746,23179.164126636373
R1_840a3320_SAA2,46,R1_placeholder,180,20,200,2372,2372,21,21,10995.888103103,7810.161289176292,54.023206786619866,76.40543799238276,6.4636432953666185,4.1401137388378535,3.0,0.7697157411505987,44713.22837944882,22726.73978571361,21986.48859373521
R1_840a3320_SAA2,47,R1_placeholder,180,20,200,2368,2368,23,23,11733.850107825401,6985.31047636348,54.672227566473154,80.46661840128368,5.71057335890886,4.427586016603093,3.0,0.776576310447723,47817.92897931341,23177.799032697367,24640.12994661604
R1_840a3320_SAA2,48,R1_placeholder,180,20,200,2442,2442,14,14,10683.722202528157,5731.3026240855015,55.60625303378129,78.93279689086515,4.538596460044918,4.56909968733517,3.0,0.7627836134163476,49346.276623219834,24147.686542046606,25198.590081173228
R1_840a3320_SAA2,49,R1_placeholder,180,20,200,2500,2500,34,34,10997.156500402574,8735.809291184485,54.38533740902808,77.72267356338605,6.755540442056118,4.428335762432293,3.0,0.799028441895786,47826.026234268764,23941.56278972453,23884.463444544235
R1_840a3320_SAA2,50,R1_placeholder,180,20,200,2438,2438,23,23,11209.684750082459,7342.027500603333,54.36306127930307,80.116954171112,6.020123698113169,4.624427175890036,3.0,0.7989568247450566,49943.813499612384,23692.889514663577,26250.923984948808
R1_840a3320_SAA2,51,R1_placeholder,180,20,200,2333,2333,21,21,10973.06982023641,6683.930046750498,55.62429780130068,77.93360155403501,5.530021224956729,4.24825484686447,3.0,0.7583608425696591,45881.15234613628,21784.603756664757,24096.548589471524
R1_840a3320_SAA2,52,R1_placeholder,180,20,200,2510,2510,20,20,11033.704579364454,9051.302720044489,55.25822879383091,79.87664069361375,7.148481991652907,4.8372376067839165,3.0,0.8401607655067043,52242.1661532663,25328.40843136594,26913.757721900358
R1_840a3320_SAA2,53,R1_placeholder,180,20,200,2467,2467,85,85,11649.22288386308,10973.618448733178,55.578660649902595,77.96403145640302,11.062547139253885,4.3807964866745275,3.0,0.8875183004894027,47312.6020560849,24459.172296227916,22853.429759856983
R1_840a3320_SAA2,54,R1_placeholder,180,20,200,2366,2366,34,34,11416.737117372488,5407.501053720654,55.98285004136511,77.38111527772625,4.765438148087569,4.186391422666161,3.0,0.7370278455580266,45213.02736479454,22150.733329609997,23062.294035184546
R1_840a3320_SAA2,55,R1_placeholder,180,20,200,2462,2462,33,33,11624.014144563991,8687.634319822168,54.481140188855484,77.97228691685882,8.046673184279696,4.502835179120997,3.0,0.8326555254213877,48630.61993450677,23507.158964064205,25123.460970442567
R1_840a3320_SAA2,56,R1_placeholder,180,20,200,2367,2367,32,32,11287.485462112809,9186.2945266651,55.01821609504955,79.37745355468222,8.751685433091401,4.51643864889813,3.0,0.8488512083352376,48777.5374080998,23905.090917226335,24872.446490873466
R1_840a3320_SAA2,57,R1_placeholder,180,20,200,2373,2373,21,21,12087.989365592548,6300.17613636725,54.75061580185389,78.56938435907597,5.22950642040167,4.400987074792032,3.0,0.7641398178491127,47530.66040775395,22080.396315138758,25450.264092615194
R1_840a3320_SAA2,58,R1_placeholder,180,20,200,2461,2461,34,34,11706.275416807754,6361.72934945503,55.316645098876364,78.44062187858879,6.1996708338538715,4.559818164131637,3.0,0.7976355424273998,49246.03617262168,23045.411878036946,26200.624294584733
R1_840a3320_SAA2,59,R1_placeholder,180,20,200,2519,2519,59,59,10430.570837947229,9543.937126108474,54.645302688737694,77.98774247558077,8.194466776860246,4.721895036520754,3.0,0.8533473195686656,50996.46639442415,23743.54084797838,27252.925546445767
R1_840a3320_SAA2,60,R1_placeholder,180,20,200,2539,2539,12,12,11125.477266189708,12271.351569283635,52.795800010350135,77.59606507734354,8.96529283833996,4.579166884854073,3.0,0.8584467687527537,49455.002356424,24114.54621803679,25340.456138387206
R1_840a3320_SAA2,61,R1_placeholder,180,20,200,2466,2466,39,39,11509.595708394876,7961.812431213548,55.5463597984249,78.02006767112007,6.572974022480734,4.45370703775143,3.0,0.7971460063589874,48100.03600771545,24513.04941885319,23586.98658886226
R1_840a3320_SAA2,62,R1_placeholder,180,20,200,2472,2472,14,14,10586.596711126307,6041.406290276615,56.14746252048354,78.13686367322812,4.723374291782205,4.529359265670921,4.0,0.8635639046490067,48917.080069245945,23402.995036408975,25514.08503283697
R1_840a3320_SAA2,63,R1_placeholder,180,20,200,2407,2407,52,52,12862.833265927211,6503.23167159987,55.1752729277467,79.51489133789165,6.920132022024598,4.477188024401071,3.0,0.8064635852811843,48353.63066353157,22897.558104094787,25456.072559436783
R1_840a3320_SAA2,64,R1_placeholder,180,20,200,2348,2348,48,48,10494.289138712958,6247.404411591745,56.417006033764224,78.07704069728135,5.4700848215696665,4.32178064437648,3.0,0.7629585548694684,46675.23095926599,23190.5871863153,23484.643772950687
R1_840a3320_SAA2,65,R1_placeholder,180,20,200,2410,2410,35,35,11652.218045576623,8926.101321589711,54.53032651733489,79.43321753670827,9.324563715510704,4.46922601336046,3.0,0.8573501606869234,48267.64094429297,23825.201749321335,24442.439194971637
R1_840a3320_SAA2,66,R1_placeholder,180,20,200,2536,2536,14,14,11235.519924268287,13792.408759687507,55.73478136750267,79.32554672526263,10.102828129059873,5.007644278698526,3.0,0.9171007164900222,54082.55820994408,25831.70808779428,28250.8501221498
R1_840a3320_SAA2,67,R1_placeholder,180,20,200,2484,2484,13,13,10846.825791642881,6793.234200197006,57.23771043202414,78.83643147995032,5.2662412601839375,4.7123137728204565,4.0,0.8898331288295781,50892.988746460935,23639.049183809402,27253.939562651532
R1_840a3320_SAA2,68,R1_placeholder,180,20,200,2367,2367,35,35,11776.106891987552,7187.790950199976,55.801077256416676,77.82742525680938,8.837864788796237,4.364946824966513,3.0,0.8385785629000976,47141.42570963834,22913.526824075816,24227.89888556252
R1_840a3320_SAA2,69,R1_placeholder,180,20,200,2570,2570,21,21,11508.182440947981,13492.982114611239,55.35323340579299,78.65068455470788,10.580000652450302,4.768908525818438,3.0,0.9082269817608387,51504.21207883913,25199.31354411377,26304.898534725362
R1_840a3320_SAA2,70,R1_placeholder,180,20,200,2534,2534,23,23,11776.671683366865,12852.63351663651,55.682650348692036,78.86520570989077,10.093302071705507,4.681181713333237,3.0,0.8907795814603485,50556.762503998965,24485.222316233034,26071.54018776593
R1_840a3320_SAA2,71,R1_placeholder,180,20,200,2533,2533,59,59,11273.552951056918,16339.798190408157,53.60500559342826,77.89631171641159,14.24226395212434,4.579618471254416,3.0,0.9715608481030178,49459.87948954769,24813.441501182242,24646.437988365447
R1_840a3320_SAA2,72,R1_placeholder,180,20,200,2306,2306,16,16,10765.737256415092,6136.348721347112,56.09720938241926,78.29679486779128,4.627613705130086,4.284551696196812,3.0,0.7419272865199611,46273.15831892556,21875.349303348805,24397.809015576757
