timetable,surrogate_objective,surrogate_wait_component,surrogate_overtime_component,surrogate_congestion_component,validation_mean_H,validation_min_H,validation_max_H,validation_std_H,weekly_slots,x_rounded
R1,0.08852037607857347,0.04252037607857556,0.0,0.04600000000000002,2.3650410998434674,1.204272276613367,3.820266672279285,0.7788556432201487,16,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
R2,0.1342799359937998,0.08427993599380444,0.0,0.04999999999999989,2.5800354458955956,1.6372673899362717,3.781055629807926,0.6867531041811303,13,"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
